,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
1148,Total Cohort,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2004,88,43,48.9,11,12.5,25.6,0,0.0,0.0,11,12.5,25.6,32,36.4,74.4,32,36.4,13,14.8,X,11,52782,51.8
1149,Total Cohort,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2005,110,57,51.8,7,6.4,12.3,0,0.0,0.0,7,6.4,12.3,50,45.5,87.7,31,28.2,12,10.9,X,11,52782,53.4
1150,Total Cohort,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006,116,62,53.4,27,23.3,43.5,4,3.4,6.5,23,19.8,37.1,35,30.2,56.5,23,19.8,19,16.4,X,11,52782,
1151,Total Cohort,11X542,PELHAM PREPARATORY ACADEMY,2001,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,84.1
1152,Total Cohort,11X542,PELHAM PREPARATORY ACADEMY,2002,88,74,84.1,58,65.9,78.4,7,8.0,9.5,51,58.0,68.9,16,18.2,21.6,12,13.6,2,2.3,X,11,52782,87.7
1153,Total Cohort,11X542,PELHAM PREPARATORY ACADEMY,2003,114,100,87.7,88,77.2,88.0,18,15.8,18.0,70,61.4,70.0,12,10.5,12.0,10,8.800000000000002,3,2.6,X,11,52782,85.6
1154,Total Cohort,11X542,PELHAM PREPARATORY ACADEMY,2004,97,83,85.6,59,60.8,71.1,16,16.5,19.3,43,44.3,51.8,24,24.7,28.9,6,6.2,7,7.2,X,11,52782,81.0
1155,Total Cohort,11X542,PELHAM PREPARATORY ACADEMY,2005,105,85,81.0,71,67.6,83.5,28,26.7,32.9,43,41.0,50.6,14,13.3,16.5,14,13.3,5,4.8,X,11,52782,91.0
1156,Total Cohort,11X542,PELHAM PREPARATORY ACADEMY,2006,111,101,91.0,86,77.5,85.1,16,14.4,15.8,70,63.1,69.3,15,13.5,14.9,3,2.7,4,3.6,X,11,52782,
1157,Total Cohort,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,
1158,Total Cohort,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,80.7
1159,Total Cohort,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2003,83,67,80.7,48,57.8,71.6,4,4.8,6.0,44,53.0,65.7,19,22.9,28.4,13,15.7,3,3.6,X,11,52782,85.2
1160,Total Cohort,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2004,81,69,85.2,57,70.40000000000002,82.6,19,23.5,27.5,38,46.9,55.1,12,14.8,17.4,8,9.9,4,4.9,X,11,52782,71.6
1161,Total Cohort,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2005,116,83,71.6,66,56.9,79.5,12,10.3,14.5,54,46.6,65.1,17,14.7,20.5,29,25.0,3,2.6,X,11,52782,69.5
1162,Total Cohort,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2006,118,82,69.5,55,46.6,67.1,2,1.7,2.4,53,44.9,64.6,27,22.9,32.9,29,24.6,3,2.5,X,11,52782,
1163,Total Cohort,11X545,BRONX AEROSPACE HIGH SCHOOL,2001,2,s,,s,,,s,,,s,,,s,,,s,,s,,X,11,52782,91.7
1164,Total Cohort,11X545,BRONX AEROSPACE HIGH SCHOOL,2002,60,55,91.7,27,45.0,49.1,0,0.0,0.0,27,45.0,49.1,28,46.7,50.9,4,6.7,1,1.7,X,11,52782,88.9
1165,Total Cohort,11X545,BRONX AEROSPACE HIGH SCHOOL,2003,72,64,88.9,34,47.2,53.1,1,1.4,1.6,33,45.8,51.6,30,41.7,46.9,5,6.9,1,1.4,X,11,52782,97.3
1166,Total Cohort,11X545,BRONX AEROSPACE HIGH SCHOOL,2004,73,71,97.3,43,58.9,60.6,0,0.0,0.0,43,58.9,60.6,28,38.4,39.4,1,1.4,1,1.4,X,11,52782,91.6
1167,Total Cohort,11X545,BRONX AEROSPACE HIGH SCHOOL,2005,83,76,91.6,30,36.1,39.5,0,0.0,0.0,30,36.1,39.5,46,55.4,60.5,5,6.0,2,2.4,X,11,52782,88.6
1168,Total Cohort,11X545,BRONX AEROSPACE HIGH SCHOOL,2006,70,62,88.6,41,58.6,66.1,4,5.7,6.5,37,52.9,59.7,21,30.0,33.9,1,1.4,3,4.3,X,11,52782,
1169,Total Cohort,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2003,9,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,76.3
1170,Total Cohort,19K409,EAST NEW YORK FAMILY ACADEMY,2001,68,44,64.7,1,1.5,2.3,0,0.0,0.0,1,1.5,2.3,43,63.2,97.7,16,23.5,6,8.800000000000002,K,19,40519,67.3
1171,Total Cohort,19K409,EAST NEW YORK FAMILY ACADEMY,2002,49,33,67.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33,67.3,100.0,9,18.4,6,12.2,K,19,40519,72.5
1172,Total Cohort,19K409,EAST NEW YORK FAMILY ACADEMY,2003,51,37,72.5,23,45.1,62.2,0,0.0,0.0,23,45.1,62.2,14,27.5,37.8,12,23.5,1,2.0,K,19,40519,81.7
1173,Total Cohort,19K409,EAST NEW YORK FAMILY ACADEMY,2004,60,49,81.7,37,61.7,75.5,1,1.7,2.0,36,60.0,73.5,12,20.0,24.5,9,15.0,0,0.0,K,19,40519,80.59999999999998
1174,Total Cohort,19K409,EAST NEW YORK FAMILY ACADEMY,2005,62,50,80.59999999999998,45,72.59999999999998,90.0,13,21.0,26.0,32,51.6,64.0,5,8.1,10.0,9,14.5,3,4.8,K,19,40519,84.6
1175,Total Cohort,19K409,EAST NEW YORK FAMILY ACADEMY,2006,91,77,84.6,60,65.9,77.9,6,6.6,7.8,54,59.3,70.1,17,18.7,22.1,10,11.0,3,3.3,K,19,40519,
1176,Total Cohort,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2006,111,75,67.6,53,47.7,70.7,5,4.5,6.7,48,43.2,64.0,22,19.8,29.3,21,18.9,12,10.8,K,19,40519,
1177,Total Cohort,19K420,FRANKLIN K. LANE HIGH SCHOOL,2001,737,232,31.5,93,12.6,40.1,17,2.3,7.3,76,10.3,32.8,139,18.9,59.9,329,44.6,139,18.9,K,19,40519,34.6
1178,Total Cohort,19K420,FRANKLIN K. LANE HIGH SCHOOL,2002,868,300,34.6,164,18.9,54.7,15,1.7,5.0,149,17.2,49.7,136,15.7,45.3,323,37.2,224,25.8,K,19,40519,31.5
1179,Total Cohort,19K420,FRANKLIN K. LANE HIGH SCHOOL,2003,793,250,31.5,130,16.4,52.0,29,3.7,11.6,101,12.7,40.4,120,15.1,48.0,314,39.6,213,26.9,K,19,40519,28.9
1180,Total Cohort,19K420,FRANKLIN K. LANE HIGH SCHOOL,2004,661,191,28.9,109,16.5,57.1,20,3.0,10.5,89,13.5,46.6,82,12.4,42.9,268,40.5,189,28.6,K,19,40519,34.0
1181,Total Cohort,19K420,FRANKLIN K. LANE HIGH SCHOOL,2005,632,215,34.0,125,19.8,58.1,27,4.3,12.6,98,15.5,45.6,90,14.2,41.9,266,42.1,121,19.1,K,19,40519,42.3
1182,Total Cohort,19K420,FRANKLIN K. LANE HIGH SCHOOL,2006,494,209,42.3,137,27.7,65.6,25,5.1,12.0,112,22.7,53.6,72,14.6,34.4,153,31.0,116,23.5,K,19,40519,
1183,Total Cohort,19K435,THOMAS JEFFERSON HIGH SCHOOL,2001,327,80,24.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,78,23.9,97.5,157,48.0,81,24.8,K,19,40519,32.3
1184,Total Cohort,19K435,THOMAS JEFFERSON HIGH SCHOOL,2002,310,100,32.3,31,10.0,31.0,5,1.6,5.0,26,8.4,26.0,69,22.3,69.0,102,32.9,87,28.1,K,19,40519,43.0
1185,Total Cohort,19K435,THOMAS JEFFERSON HIGH SCHOOL,2003,309,133,43.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,133,43.0,100.0,77,24.9,89,28.8,K,19,40519,
1186,Total Cohort,19K435,THOMAS JEFFERSON HIGH SCHOOL,2004,4,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1187,Total Cohort,19K435,THOMAS JEFFERSON HIGH SCHOOL,2006,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1188,Total Cohort,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1189,Total Cohort,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2003,6,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,50.0
1190,Total Cohort,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2004,68,34,50.0,16,23.5,47.1,0,0.0,0.0,16,23.5,47.1,18,26.5,52.9,27,39.7,7,10.3,K,19,40519,54.9
1191,Total Cohort,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2005,102,56,54.9,16,15.7,28.6,0,0.0,0.0,16,15.7,28.6,40,39.2,71.40000000000002,25,24.5,16,15.7,K,19,40519,55.2
1192,Total Cohort,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2006,87,48,55.2,26,29.9,54.2,4,4.6,8.3,22,25.3,45.8,22,25.3,45.8,14,16.1,20,23.0,K,19,40519,
1193,Total Cohort,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2002,6,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1194,Total Cohort,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2003,14,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,42.2
1195,Total Cohort,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2004,83,35,42.2,27,32.5,77.09999999999998,2,2.4,5.7,25,30.1,71.40000000000002,8,9.6,22.9,30,36.1,15,18.1,K,19,40519,60.0
1196,Total Cohort,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2005,95,57,60.0,42,44.2,73.7,2,2.1,3.5,40,42.1,70.2,15,15.8,26.3,24,25.3,10,10.5,K,19,40519,67.6
1197,Total Cohort,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1198,Total Cohort,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2004,76,58,76.3,54,71.1,93.1,3,3.9,5.2,51,67.1,87.9,4,5.3,6.9,14,18.4,4,5.3,K,19,40519,70.2
1199,Total Cohort,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2005,94,66,70.2,47,50.0,71.2,0,0.0,0.0,47,50.0,71.2,19,20.2,28.8,21,22.3,5,5.3,K,19,40519,72.09999999999998
1200,Total Cohort,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2006,111,80,72.09999999999998,58,52.3,72.5,0,0.0,0.0,58,52.3,72.5,22,19.8,27.5,22,19.8,9,8.1,K,19,40519,
1201,Total Cohort,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1202,Total Cohort,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2003,7,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,68.4
1203,Total Cohort,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2004,98,67,68.4,45,45.9,67.2,8,8.2,11.9,37,37.8,55.2,22,22.4,32.8,23,23.5,7,7.1,K,19,40519,63.0
1204,Total Cohort,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2005,81,51,63.0,26,32.1,51.0,4,4.9,7.8,22,27.2,43.1,25,30.9,49.0,19,23.5,9,11.1,K,19,40519,67.4
1205,Total Cohort,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2006,95,64,67.4,29,30.5,45.3,1,1.1,1.6,28,29.5,43.8,35,36.8,54.7,21,22.1,8,8.4,K,19,40519,
1206,Total Cohort,19K583,MULTICULTURAL HIGH SCHOOL,2006,3,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1207,Total Cohort,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2001,286,199,69.6,119,41.6,59.8,34,11.9,17.1,85,29.7,42.7,81,28.3,40.7,58,20.3,14,4.9,K,19,40519,63.1
1208,Total Cohort,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2002,282,178,63.1,120,42.6,67.4,10,3.5,5.6,110,39.0,61.8,58,20.6,32.6,73,25.9,20,7.1,K,19,40519,69.2
1209,Total Cohort,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2003,331,229,69.2,145,43.8,63.3,52,15.7,22.7,93,28.1,40.6,84,25.4,36.7,60,18.1,30,9.1,K,19,40519,61.1
1210,Total Cohort,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2004,350,214,61.1,133,38.0,62.1,79,22.6,36.9,54,15.4,25.2,81,23.1,37.9,87,24.9,32,9.1,K,19,40519,66.7
1211,Total Cohort,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2005,381,254,66.7,195,51.2,76.8,102,26.8,40.2,93,24.4,36.6,59,15.5,23.2,81,21.3,26,6.8,K,19,40519,75.09999999999998
1212,Total Cohort,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2006,346,260,75.09999999999998,203,58.7,78.09999999999998,60,17.3,23.1,143,41.3,55.0,57,16.5,21.9,49,14.2,25,7.2,K,19,40519,
1213,Total Cohort,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,2006,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1214,Total Cohort,19K639,BROOKLYN LAB SCHOOL,2006,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,
1215,Total Cohort,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,19,40519,60.4
1216,Total Cohort,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,2006,106,64,60.4,40,37.7,62.5,2,1.9,3.1,38,35.8,59.4,24,22.6,37.5,31,29.2,8,7.5,K,19,40519,
1217,Total Cohort,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2001,243,76,31.3,1,0.4,1.3,0,0.0,0.0,1,0.4,1.3,76,31.3,100.0,103,42.4,56,23.0,K,19,40519,35.5
1218,Total Cohort,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2002,276,98,35.5,2,0.7,2.0,2,0.7,2.0,0,0.0,0.0,96,34.8,98.0,87,31.5,69,25.0,K,19,40519,39.8
1219,Total Cohort,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2003,264,105,39.8,7,2.7,6.7,7,2.7,6.7,0,0.0,0.0,98,37.1,93.3,88,33.3,60,22.7,K,19,40519,39.0
1220,Total Cohort,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2004,213,83,39.0,39,18.3,47.0,8,3.8,9.6,31,14.6,37.3,44,20.7,53.0,69,32.4,50,23.5,K,19,40519,40.1
1221,Total Cohort,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2005,237,95,40.1,42,17.7,44.2,4,1.7,4.2,38,16.0,40.0,53,22.4,55.8,67,28.3,46,19.4,K,19,40519,55.3
1222,Total Cohort,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2006,226,125,55.3,53,23.5,42.4,1,0.4,0.8,52,23.0,41.6,72,31.9,57.6,47,20.8,46,20.4,K,19,40519,
1223,Total Cohort,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2001,23,20,87.0,8,34.8,40.0,0,0.0,0.0,8,34.8,40.0,12,52.2,60.0,3,13.0,0,0.0,K,13,67081,72.7
1224,Total Cohort,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2002,66,48,72.7,34,51.5,70.8,0,0.0,0.0,34,51.5,70.8,16,24.2,33.3,7,10.6,9,13.6,K,13,67081,75.3
1225,Total Cohort,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2003,73,55,75.3,41,56.2,74.5,0,0.0,0.0,41,56.2,74.5,14,19.2,25.5,12,16.4,6,8.2,K,13,67081,71.40000000000002
1226,Total Cohort,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2004,49,35,71.40000000000002,30,61.2,85.7,0,0.0,0.0,30,61.2,85.7,5,10.2,14.3,9,18.4,3,6.1,K,13,67081,46.0
1227,Total Cohort,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2005,100,46,46.0,38,38.0,82.6,0,0.0,0.0,38,38.0,82.6,8,8.0,17.4,41,41.0,9,9.0,K,13,67081,84.0
1228,Total Cohort,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2006,81,68,84.0,46,56.8,67.6,0,0.0,0.0,46,56.8,67.6,22,27.2,32.4,9,11.1,3,3.7,K,13,67081,
1229,Total Cohort,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2005,91,64,70.3,41,45.1,64.1,0,0.0,0.0,41,45.1,64.1,23,25.3,35.9,17,18.7,8,8.800000000000002,K,13,67081,80.2
1230,Total Cohort,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2006,96,77,80.2,55,57.3,71.40000000000002,0,0.0,0.0,55,57.3,71.40000000000002,22,22.9,28.6,10,10.4,7,7.3,K,13,67081,
1231,Total Cohort,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2005,2,s,,s,,,s,,,s,,,s,,,s,,s,,K,13,67081,65.4
1232,Total Cohort,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2006,78,51,65.4,34,43.6,66.7,5,6.4,9.8,29,37.2,56.9,17,21.8,33.3,23,29.5,2,2.6,K,13,67081,
1233,Total Cohort,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2001,180,113,62.8,85,47.2,75.2,0,0.0,0.0,85,47.2,75.2,28,15.6,24.8,52,28.9,15,8.3,K,13,67081,62.0
1234,Total Cohort,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2002,171,106,62.0,87,50.9,82.1,0,0.0,0.0,87,50.9,82.1,19,11.1,17.9,51,29.8,9,5.3,K,13,67081,62.9
1235,Total Cohort,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2003,186,117,62.9,85,45.7,72.59999999999998,0,0.0,0.0,85,45.7,72.59999999999998,32,17.2,27.4,52,28.0,15,8.1,K,13,67081,67.6
1236,Total Cohort,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2004,176,119,67.6,87,49.4,73.09999999999998,5,2.8,4.2,82,46.6,68.9,32,18.2,26.9,45,25.6,10,5.7,K,13,67081,66.7
1237,Total Cohort,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2005,243,162,66.7,140,57.6,86.4,23,9.5,14.2,117,48.1,72.2,22,9.1,13.6,58,23.9,17,7.0,K,13,67081,72.7
1238,Total Cohort,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2006,231,168,72.7,128,55.4,76.2,20,8.7,11.9,108,46.8,64.3,40,17.3,23.8,37,16.0,17,7.4,K,13,67081,
1239,Total Cohort,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2001,867,788,90.9,787,90.8,99.9,721,83.2,91.5,66,7.6,8.4,1,0.1,0.1,75,8.7,3,0.3,K,13,67081,94.0
1240,Total Cohort,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2002,919,864,94.0,864,94.0,100.0,767,83.5,88.8,97,10.6,11.2,0,0.0,0.0,41,4.5,9,1.0,K,13,67081,91.1
1241,Total Cohort,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2003,900,820,91.1,819,91.0,99.9,708,78.7,86.3,111,12.3,13.5,1,0.1,0.1,64,7.1,14,1.6,K,13,67081,92.3
1242,Total Cohort,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2004,1009,931,92.3,931,92.3,100.0,848,84.0,91.1,83,8.2,8.9,0,0.0,0.0,69,6.8,4,0.4,K,13,67081,89.3
1243,Total Cohort,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2005,1011,903,89.3,903,89.3,100.0,835,82.6,92.5,68,6.7,7.5,0,0.0,0.0,101,10.0,4,0.4,K,13,67081,95.1
1244,Total Cohort,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2006,1097,1043,95.1,1043,95.1,100.0,918,83.7,88.0,125,11.4,12.0,0,0.0,0.0,47,4.3,2,0.2,K,13,67081,
1245,Total Cohort,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2001,72,59,81.9,21,29.2,35.6,0,0.0,0.0,21,29.2,35.6,38,52.8,64.4,9,12.5,4,5.6,K,13,67081,77.5
1246,Total Cohort,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2002,71,55,77.5,22,31.0,40.0,0,0.0,0.0,22,31.0,40.0,33,46.5,60.0,12,16.9,4,5.6,K,13,67081,76.9
1247,Total Cohort,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2003,65,50,76.9,16,24.6,32.0,0,0.0,0.0,16,24.6,32.0,34,52.3,68.0,9,13.8,6,9.2,K,13,67081,79.3
1248,Total Cohort,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2004,82,65,79.3,33,40.2,50.8,0,0.0,0.0,33,40.2,50.8,32,39.0,49.2,14,17.1,3,3.7,K,13,67081,85.1
1249,Total Cohort,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2005,87,74,85.1,53,60.9,71.6,0,0.0,0.0,53,60.9,71.6,21,24.1,28.4,11,12.6,2,2.3,K,13,67081,84.3
1250,Total Cohort,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2006,115,97,84.3,97,84.3,100.0,0,0.0,0.0,97,84.3,100.0,0,0.0,0.0,13,11.3,5,4.3,K,13,67081,
1251,Total Cohort,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,,K,13,67081,89.5
1252,Total Cohort,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2004,86,77,89.5,58,67.4,75.3,0,0.0,0.0,58,67.4,75.3,19,22.1,24.7,8,9.3,0,0.0,K,13,67081,84.6
1253,Total Cohort,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2005,104,88,84.6,61,58.7,69.3,0,0.0,0.0,61,58.7,69.3,27,26.0,30.7,14,13.5,1,1.0,K,13,67081,86.2
1254,Total Cohort,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2006,109,94,86.2,79,72.5,84.0,28,25.7,29.8,51,46.8,54.3,15,13.8,16.0,13,11.9,2,1.8,K,13,67081,
1255,Total Cohort,13K499,ACORN COMMUNITY HIGH SCHOOL,2001,120,68,56.7,31,25.8,45.6,0,0.0,0.0,31,25.8,45.6,37,30.8,54.4,26,21.7,20,16.7,K,13,67081,66.4
1256,Total Cohort,13K499,ACORN COMMUNITY HIGH SCHOOL,2002,125,83,66.4,47,37.6,56.6,2,1.6,2.4,45,36.0,54.2,36,28.8,43.4,18,14.4,18,14.4,K,13,67081,60.3
1257,Total Cohort,13K499,ACORN COMMUNITY HIGH SCHOOL,2003,131,79,60.3,59,45.0,74.7,2,1.5,2.5,57,43.5,72.2,20,15.3,25.3,19,14.5,25,19.1,K,13,67081,69.0
1258,Total Cohort,13K499,ACORN COMMUNITY HIGH SCHOOL,2004,113,78,69.0,50,44.2,64.1,5,4.4,6.4,45,39.8,57.7,28,24.8,35.9,25,22.1,6,5.3,K,13,67081,61.6
1259,Total Cohort,13K499,ACORN COMMUNITY HIGH SCHOOL,2005,172,106,61.6,81,47.1,76.4,12,7.0,11.3,69,40.1,65.1,25,14.5,23.6,42,24.4,13,7.6,K,13,67081,74.59999999999998
1260,Total Cohort,13K499,ACORN COMMUNITY HIGH SCHOOL,2006,169,126,74.59999999999998,94,55.6,74.59999999999998,2,1.2,1.6,92,54.4,73.0,32,18.9,25.4,27,16.0,14,8.3,K,13,67081,
1261,Total Cohort,13K509,FREEDOM ACADEMY HIGH SCHOOL,2001,16,s,,s,,,s,,,s,,,s,,,s,,s,,K,13,67081,69.7
1262,Total Cohort,13K509,FREEDOM ACADEMY HIGH SCHOOL,2002,33,23,69.7,21,63.6,91.3,0,0.0,0.0,21,63.6,91.3,2,6.1,8.7,9,27.3,0,0.0,K,13,67081,44.9
1263,Total Cohort,13K509,FREEDOM ACADEMY HIGH SCHOOL,2003,49,22,44.9,20,40.8,90.9,0,0.0,0.0,20,40.8,90.9,2,4.1,9.1,19,38.8,5,10.2,K,13,67081,53.8
1264,Total Cohort,13K509,FREEDOM ACADEMY HIGH SCHOOL,2004,52,28,53.8,27,51.9,96.4,0,0.0,0.0,27,51.9,96.4,1,1.9,3.6,21,40.4,3,5.8,K,13,67081,43.1
1265,Total Cohort,13K509,FREEDOM ACADEMY HIGH SCHOOL,2005,65,28,43.1,25,38.5,89.3,2,3.1,7.1,23,35.4,82.1,3,4.6,10.7,33,50.8,2,3.1,K,13,67081,70.7
1266,Total Cohort,13K509,FREEDOM ACADEMY HIGH SCHOOL,2006,58,41,70.7,35,60.3,85.4,6,10.3,14.6,29,50.0,70.7,6,10.3,14.6,14,24.1,3,5.2,K,13,67081,
1267,Total Cohort,13K553,BROOKLYN ACADEMY HIGH SCHOOL,2001,135,15,11.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,15,11.1,100.0,108,80.0,12,8.9,K,13,67081,8.6
1268,Total Cohort,13K553,BROOKLYN ACADEMY HIGH SCHOOL,2002,128,11,8.6,2,1.6,18.2,0,0.0,0.0,2,1.6,18.2,9,7.0,81.8,108,84.4,9,7.0,K,13,67081,9.6
1269,Total Cohort,13K553,BROOKLYN ACADEMY HIGH SCHOOL,2003,115,11,9.6,5,4.3,45.5,0,0.0,0.0,5,4.3,45.5,6,5.2,54.5,98,85.2,5,4.3,K,13,67081,12.0
1270,Total Cohort,13K553,BROOKLYN ACADEMY HIGH SCHOOL,2004,83,10,12.0,1,1.2,10.0,0,0.0,0.0,1,1.2,10.0,9,10.8,90.0,66,79.5,6,7.2,K,13,67081,35.9
1271,Total Cohort,13K553,BROOKLYN ACADEMY HIGH SCHOOL,2005,64,23,35.9,6,9.4,26.1,0,0.0,0.0,6,9.4,26.1,17,26.6,73.9,34,53.1,6,9.4,K,13,67081,16.4
1272,Total Cohort,13K553,BROOKLYN ACADEMY HIGH SCHOOL,2006,55,9,16.4,2,3.6,22.2,0,0.0,0.0,2,3.6,22.2,7,12.7,77.8,33,60.0,11,20.0,K,13,67081,
1273,Total Cohort,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2001,86,30,34.9,1,1.2,3.3,0,0.0,0.0,1,1.2,3.3,29,33.7,96.7,46,53.5,10,11.6,K,13,67081,27.9
1274,Total Cohort,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2002,68,19,27.9,6,8.800000000000002,31.6,0,0.0,0.0,6,8.800000000000002,31.6,13,19.1,68.4,37,54.4,12,17.6,K,13,67081,45.8
